Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Artist_Track
,,,,,,,290437.0,Bibi Blocksberg-Kapitel 13: Der Hexenbesenausflug (Folge 146)
Usher - Burn (Official Music Video),UsherVEVO,297639332.0,1081624.0,32928.0,True,True,166588725.0,Usher-Burn
"Drake, 21 Savage ""Spin Bout U"" (Music Video)",RAPTRAX,1111996.0,8576.0,154.0,False,False,87618118.0,21 Savage-Spin Bout U
BoyWithUke ft. Oliver Tree - Sick of U (Official Music Video),BoyWithUkeVEVO,17591160.0,383504.0,16373.0,True,True,44129835.0,BoyWithUke-Sick of U (with Oliver Tree)
,,,,,,,78846083.0,Bob Marley & The Wailers-Natural Mystic
Hotel California (2013 Remaster),The Eagles - Topic,258787217.0,1745720.0,1602.0,True,True,1225904497.0,Eagles-Hotel California - 2013 Remaster
Red Hot Chili Peppers - Under The Bridge [Official Music Video],Red Hot Chili Peppers,246687714.0,1213572.0,32761.0,True,True,1061750522.0,Red Hot Chili Peppers-Under the Bridge
Enrique Iglesias - Hero (Official Music Video),EnriqueIglesiasVEVO,477238688.0,1982076.0,86980.0,True,True,282904687.0,Enrique Iglesias-Hero
PinkPantheress - I must apologise (Visualiser),Pinkpantheress,2920108.0,115670.0,3679.0,True,True,53708993.0,PinkPantheress-I must apologise
T-Pain - I'm Sprung (Official HD Video),TPainVEVO,114366282.0,620650.0,15512.0,True,True,146039516.0,T-Pain-I'm Sprung
Time - Pink Floyd - Music Video [HQ],Good Old Music,101194.0,1643.0,53.0,False,False,,Pink Floyd-Time
"Yuridia, Eden Muñoz - Me Hace Tanto Bien (Video Oficial)",YuridiaVEVO,35057598.0,160498.0,9514.0,True,True,28417017.0,Eden Muñoz-Me Hace Tanto Bien
Michael Jackson - Remember The Time (Official Video),michaeljacksonVEVO,504057332.0,3085718.0,127080.0,True,True,224254298.0,Michael Jackson-Remember the Time
,,,,,,,8885938.0,"Johann Sebastian Bach-Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie"
Chencho ➕ Farruko ➕ Darell ➕ Brytiago - Ella Fuma [Official Video],Plan B,115619778.0,807237.0,11302.0,True,True,122848793.0,Plan B-Ella Fuma
life's a dream (Official Audio),d4vd,81423.0,3079.0,92.0,False,True,3659904.0,d4vd-life’s a dream
System Of A Down - B.Y.O.B. (Official HD Video),systemofadownVEVO,418146594.0,2399598.0,92234.0,True,True,441264205.0,System Of A Down-B.Y.O.B.
Die drei Fragezeichen - Das Geheimnis der Geisterinsel,Serien Schätze de,21912.0,256.0,5.0,False,False,,Die drei ???-Teil 2 - Das Geheimnis der Geisterinsel
Jack Johnson Angel music video,saynotorice,15216.0,48.0,3.0,False,False,69780800.0,Jack Johnson-Angel
Pearl Jam - Just Breathe (Official Video),PearljamVEVO,49562534.0,223202.0,5706.0,True,True,186621364.0,Pearl Jam-Just Breathe
"Matisse, Eden Muñoz - Te Vale Madre (Video Oficial)",MatisseMXVEVO,3210450.0,65473.0,952.0,True,True,9018795.0,Eden Muñoz-Te Vale Madre
Britney Spears - If U Seek Amy (Official HD Video),BritneySpearsVEVO,127036180.0,802449.0,42897.0,True,True,145511234.0,Britney Spears-If U Seek Amy
"Tyler, The Creator - JUGGERNAUT (Official Video)","Tyler, The Creator",11408003.0,477302.0,12628.0,False,True,99577335.0,Pharrell Williams-JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)
Justin Bieber - Honest ft. Don Toliver,JustinBieberVEVO,30608215.0,567407.0,30951.0,True,True,92010224.0,Don Toliver-Honest (feat. Don Toliver)
Piya O Re Piya By Shreya Ghoshal ❤️,Shreya Ghoshal Songs,7876.0,259.0,14.0,False,False,32957897.0,Shreya Ghoshal-Piya O Re Piya
Korn - Y'all Want a Single (Official Video),KornVEVO,13293839.0,101492.0,4943.0,True,True,64352768.0,Korn-Y'all Want a Single
,,,,,,,390752145.0,Bob Marley & The Wailers-Jamming
Michael Jackson - Chicago,MJ4481,545655.0,7314.0,386.0,False,False,103974637.0,Michael Jackson-Chicago
MIDDLE OF THE NIGHT - HARDSTYLE REMIX,SICK LEGEND - Topic,254268.0,3472.0,0.0,True,True,17125177.0,SICK LEGEND-MIDDLE OF THE NIGHT - HARDSTYLE REMIX
Johnny Cash - Ghost Riders In The Sky (Live - 1987),turion2005,8193553.0,85709.0,2081.0,False,False,88417035.0,Johnny Cash-(Ghost) Riders in the Sky
ENHYPEN (엔하이픈) 'FEVER' Official MV,HYBE LABELS,92195106.0,3679240.0,206552.0,True,True,216326772.0,ENHYPEN-FEVER
Johnny Cash - God's Gonna Cut You Down (Official Music Video),JohnnyCashVEVO,126356777.0,796860.0,40573.0,True,True,156850200.0,Johnny Cash-God's Gonna Cut You Down
U2 - Sweetest Thing (Official Music Video),U2VEVO,58474426.0,171485.0,6114.0,True,True,106597387.0,U2-Sweetest Thing
Love Today - Pacha Elai Video | Pradeep Ranganathan  | Yuvan Shankar Raja | AGS,Sony Music South,2495085.0,89362.0,759.0,True,True,18641790.0,"Yuvan Shankar Raja-Pacha Elai (From ""Love Today"")"
Beyoncé - Crazy In Love ft. JAY Z,BeyoncéVEVO,669084413.0,3218858.0,66334.0,True,True,836260550.0,Beyoncé-Crazy In Love (feat. Jay-Z)
Marc Anthony - Parecen Viernes (Official Video),marcanthonyVEVO,120539159.0,477822.0,7894.0,True,True,107827449.0,Marc Anthony-Parecen Viernes
Metallica - The Unforgiven (Official Music Video),Warner Records Vault,426125708.0,1781690.0,46392.0,False,False,,Metallica-The Unforgiven (Remastered)
Gorillaz - Cracker Island ft. Thundercat (Official Video),Gorillaz,24459820.0,739527.0,20296.0,True,True,42671901.0,Gorillaz-Cracker Island (feat. Thundercat)
